Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,76,Brazil,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,8204.192466,X,Figure from international organizations,
MK,Macro Indicators,76,Brazil,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-4.515925,X,Figure from international organizations,
MK,Macro Indicators,92,British Virgin Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,45480.579651,X,Figure from international organizations,
MK,Macro Indicators,92,British Virgin Islands,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,0.741493,X,Figure from international organizations,
MK,Macro Indicators,124,Canada,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,42413.958197,X,Figure from international organizations,
MK,Macro Indicators,124,Canada,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-5.813569,X,Figure from international organizations,
MK,Macro Indicators,136,Cayman Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,76113.686812,X,Figure from international organizations,
MK,Macro Indicators,136,Cayman Islands,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-7.333179,X,Figure from international organizations,
MK,Macro Indicators,152,Chile,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12780.937223,X,Figure from international organizations,
MK,Macro Indicators,152,Chile,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-7.248861,X,Figure from international organizations,
MK,Macro Indicators,170,Colombia,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5865.654095,X,Figure from international organizations,
MK,Macro Indicators,170,Colombia,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-8.404643,X,Figure from international organizations,
MK,Macro Indicators,188,Costa Rica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12058.00359,X,Figure from international organizations,
MK,Macro Indicators,188,Costa Rica,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-4.77333,X,Figure from international organizations,
MK,Macro Indicators,192,Cuba,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7178.501341,X,Figure from international organizations,
MK,Macro Indicators,192,Cuba,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-10.822266,X,Figure from international organizations,
MK,Macro Indicators,531,Curaçao,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12073.14544,X,Figure from international organizations,
MK,Macro Indicators,531,Curaçao,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-16.792917,X,Figure from international organizations,
MK,Macro Indicators,212,Dominica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,6609.495007,X,Figure from international organizations,
MK,Macro Indicators,212,Dominica,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-16.718232,X,Figure from international organizations,
MK,Macro Indicators,214,Dominican Republic,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7570.741014,X,Figure from international organizations,
MK,Macro Indicators,214,Dominican Republic,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-7.719059,X,Figure from international organizations,
MK,Macro Indicators,218,Ecuador,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5331.976611,X,Figure from international organizations,
MK,Macro Indicators,218,Ecuador,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-9.071318,X,Figure from international organizations,
MK,Macro Indicators,222,El Salvador,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,3762.087014,X,Figure from international organizations,
MK,Macro Indicators,222,El Salvador,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-8.357188,X,Figure from international organizations,
MK,Macro Indicators,304,Greenland,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,48249.554243,X,Figure from international organizations,
MK,Macro Indicators,304,Greenland,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,0.186363,X,Figure from international organizations,
MK,Macro Indicators,308,Grenada,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7915.241079,X,Figure from international organizations,
MK,Macro Indicators,308,Grenada,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-14.410587,X,Figure from international organizations,
MK,Macro Indicators,320,Guatemala,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,4004.870068,X,Figure from international organizations,
MK,Macro Indicators,320,Guatemala,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-3.214646,X,Figure from international organizations,
MK,Macro Indicators,328,Guyana,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,9126.785332,X,Figure from international organizations,
MK,Macro Indicators,328,Guyana,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,43.759116,X,Figure from international organizations,
MK,Macro Indicators,332,Haiti,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,1275.497295,X,Figure from international organizations,
MK,Macro Indicators,332,Haiti,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-4.522442,X,Figure from international organizations,
MK,Macro Indicators,340,Honduras,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,2190.974317,X,Figure from international organizations,
MK,Macro Indicators,340,Honduras,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-10.430355,X,Figure from international organizations,
MK,Macro Indicators,388,Jamaica,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,4765.83993,X,Figure from international organizations,
MK,Macro Indicators,388,Jamaica,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-10.261245,X,Figure from international organizations,
MK,Macro Indicators,484,Mexico,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,9147.072744,X,Figure from international organizations,
MK,Macro Indicators,484,Mexico,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-8.654637,X,Figure from international organizations,
MK,Macro Indicators,500,Montserrat,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,15958.252636,X,Figure from international organizations,
MK,Macro Indicators,500,Montserrat,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-3.937163,X,Figure from international organizations,
MK,Macro Indicators,558,Nicaragua,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,1886.519872,X,Figure from international organizations,
MK,Macro Indicators,558,Nicaragua,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-3.126465,X,Figure from international organizations,
MK,Macro Indicators,591,Panama,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12230.054522,X,Figure from international organizations,
MK,Macro Indicators,591,Panama,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-19.12693,X,Figure from international organizations,
MK,Macro Indicators,600,Paraguay,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,6095.391372,X,Figure from international organizations,
MK,Macro Indicators,600,Paraguay,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-2.148478,X,Figure from international organizations,
MK,Macro Indicators,604,Peru,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5748.947886,X,Figure from international organizations,
MK,Macro Indicators,604,Peru,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-12.2358,X,Figure from international organizations,
MK,Macro Indicators,630,Puerto Rico,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,28180.250223,X,Figure from international organizations,
MK,Macro Indicators,630,Puerto Rico,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-3.730033,X,Figure from international organizations,
MK,Macro Indicators,659,Saint Kitts and Nevis,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,18948.497649,X,Figure from international organizations,
MK,Macro Indicators,659,Saint Kitts and Nevis,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-14.40495,X,Figure from international organizations,
MK,Macro Indicators,662,Saint Lucia,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,8853.936988,X,Figure from international organizations,
MK,Macro Indicators,662,Saint Lucia,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-20.664247,X,Figure from international organizations,
MK,Macro Indicators,670,Saint Vincent and the Grenadines,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7798.549946,X,Figure from international organizations,
MK,Macro Indicators,670,Saint Vincent and the Grenadines,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-5.04833,X,Figure from international organizations,
MK,Macro Indicators,534,Sint Maarten (Dutch part),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,24002.760436,X,Figure from international organizations,
MK,Macro Indicators,534,Sint Maarten (Dutch part),61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-19.10544,X,Figure from international organizations,
MK,Macro Indicators,740,Suriname,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7275.512306,X,Figure from international organizations,
MK,Macro Indicators,740,Suriname,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-16.911407,X,Figure from international organizations,
MK,Macro Indicators,780,Trinidad and Tobago,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14397.550376,X,Figure from international organizations,
MK,Macro Indicators,780,Trinidad and Tobago,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-7.568383,X,Figure from international organizations,
MK,Macro Indicators,796,Turks and Caicos Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,18122.426394,X,Figure from international organizations,
MK,Macro Indicators,796,Turks and Caicos Islands,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-28.760644,X,Figure from international organizations,
MK,Macro Indicators,840,United States of America,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,57680.739791,X,Figure from international organizations,
MK,Macro Indicators,840,United States of America,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-3.237334,X,Figure from international organizations,
MK,Macro Indicators,858,Uruguay,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,16510.164195,X,Figure from international organizations,
MK,Macro Indicators,858,Uruguay,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-6.140011,X,Figure from international organizations,
MK,Macro Indicators,862,Venezuela (Bolivarian Republic of),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,3439.31757,X,Figure from international organizations,
MK,Macro Indicators,862,Venezuela (Bolivarian Republic of),61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,%,-28.810053,X,Figure from international organizations,
