Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,500,Montserrat,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,15958.252636,X,Figure from international organizations,
MK,Macro Indicators,558,Nicaragua,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,1886.519872,X,Figure from international organizations,
MK,Macro Indicators,591,Panama,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,12230.054522,X,Figure from international organizations,
MK,Macro Indicators,600,Paraguay,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,6095.391372,X,Figure from international organizations,
MK,Macro Indicators,604,Peru,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,5748.947886,X,Figure from international organizations,
MK,Macro Indicators,630,Puerto Rico,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,28180.250223,X,Figure from international organizations,
MK,Macro Indicators,659,Saint Kitts and Nevis,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,18948.497649,X,Figure from international organizations,
MK,Macro Indicators,662,Saint Lucia,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,8853.936988,X,Figure from international organizations,
MK,Macro Indicators,670,Saint Vincent and the Grenadines,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7798.549946,X,Figure from international organizations,
MK,Macro Indicators,534,Sint Maarten (Dutch part),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,24002.760436,X,Figure from international organizations,
MK,Macro Indicators,740,Suriname,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,7275.512306,X,Figure from international organizations,
MK,Macro Indicators,780,Trinidad and Tobago,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,14397.550376,X,Figure from international organizations,
MK,Macro Indicators,796,Turks and Caicos Islands,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,18122.426394,X,Figure from international organizations,
MK,Macro Indicators,840,United States of America,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,57680.739791,X,Figure from international organizations,
MK,Macro Indicators,858,Uruguay,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,16510.164195,X,Figure from international organizations,
MK,Macro Indicators,862,Venezuela (Bolivarian Republic of),6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,2020,2020,US$,3439.31757,X,Figure from international organizations,
